Coin,Strategy,Entry Time,Exit Time,Entry Price,Exit Price,Amount,Invested,Returned,Profit,Profit%
INJ,HYPER,12:00:50 PM,12:00:56 PM,5.5230,5.5200,4.526525,25.00,25.00,-0.0045,-0.02%
FARM,HYPER,12:00:43 PM,12:00:49 PM,6.5600,6.5700,3.810976,25.00,25.04,0.0381,0.15%
IO,HYPER,12:00:37 PM,12:00:47 PM,0.1754,0.1757,142.531357,25.00,25.04,0.0428,0.17%
WLD,HYPER,12:00:32 PM,12:00:43 PM,0.3787,0.3783,66.015316,25.00,24.97,-0.0264,-0.11%
HMSTR,HYPER,12:00:17 PM,12:00:38 PM,0.0002,0.0002,148279.952550,25.00,25.04,0.0445,0.18%
RIF,HYPER,11:59:53 AM,12:00:31 PM,0.0607,0.0607,411.861614,25.00,25.00,0.0000,0.00%
ROSE,HYPER,12:00:02 PM,12:00:29 PM,0.0100,0.0100,2497.502498,25.00,24.98,-0.0250,-0.10%
INJ,HYPER,12:00:17 PM,12:00:26 PM,5.5190,5.5230,4.529806,25.00,25.01,0.0091,0.04%
FET,HYPER,12:00:10 PM,12:00:16 PM,0.2450,0.2447,102.040816,25.00,24.97,-0.0306,-0.12%
NEAR,HYPER,11:59:59 AM,12:00:14 PM,2.7150,2.7140,9.208103,25.00,24.99,-0.0092,-0.04%
BTC,HYPER,11:55:35 AM,12:00:07 PM,76684.3700,76638.0000,0.000326,25.00,24.98,-0.0151,-0.06%
POND,HYPER,11:59:38 AM,12:00:01 PM,0.0027,0.0027,9433.962264,25.00,24.81,-0.1887,-0.75%
IO,HYPER,11:59:19 AM,11:59:55 AM,0.1745,0.1751,143.266476,25.00,25.09,0.0860,0.34%
FET,HYPER,11:59:38 AM,11:59:50 AM,0.2439,0.2441,102.501025,25.00,25.02,0.0205,0.08%
RIF,HYPER,11:59:31 AM,11:59:37 AM,0.0606,0.0605,412.541254,25.00,24.96,-0.0413,-0.17%
PHA,HYPER,11:59:22 AM,11:59:34 AM,0.0497,0.0497,503.018109,25.00,25.00,0.0000,0.00%
RENDER,HYPER,11:59:02 AM,11:59:28 AM,2.3350,2.3380,10.706638,25.00,25.02,0.0214,0.09%
GRT,HYPER,11:59:14 AM,11:59:20 AM,0.0286,0.0286,874.431619,25.00,24.99,-0.0087,-0.03%
FET,HYPER,11:58:50 AM,11:59:16 AM,0.2436,0.2438,102.627258,25.00,25.02,0.0205,0.08%
INJ,HYPER,11:58:44 AM,11:59:13 AM,5.5260,5.5280,4.524068,25.00,25.01,0.0090,0.04%
NEAR,HYPER,11:58:53 AM,11:59:01 AM,2.7160,2.7150,9.204713,25.00,24.99,-0.0092,-0.04%
POND,HYPER,11:58:16 AM,11:58:46 AM,0.0026,0.0026,9469.696970,25.00,25.00,0.0000,0.00%
RENDER,HYPER,11:58:29 AM,11:58:44 AM,2.3330,2.3330,10.715817,25.00,25.00,0.0000,0.00%
IO,HYPER,11:58:35 AM,11:58:43 AM,0.1742,0.1740,143.513203,25.00,25.00,0.0000,0.00%
ROSE,HYPER,11:55:44 AM,11:58:34 AM,0.0100,0.0100,2495.009980,25.00,24.95,-0.0499,-0.20%
PHA,HYPER,11:58:14 AM,11:58:26 AM,0.0497,0.0496,503.018109,25.00,25.00,0.0013,0.01%
GRT,HYPER,11:58:02 AM,11:58:13 AM,0.0286,0.0285,874.125874,25.00,24.96,-0.0437,-0.17%
IO,HYPER,11:57:44 AM,11:58:13 AM,0.1739,0.1743,143.760782,25.00,25.03,0.0288,0.12%
RENDER,HYPER,11:57:38 AM,11:57:56 AM,2.3320,2.3320,10.720412,25.00,25.00,0.0000,0.00%
FET,HYPER,11:57:19 AM,11:57:43 AM,0.2441,0.2440,102.417042,25.00,24.99,-0.0102,-0.04%
HMSTR,HYPER,11:56:41 AM,11:57:34 AM,0.0002,0.0002,147666.863556,25.00,25.07,0.0738,0.30%
NEAR,HYPER,11:57:10 AM,11:57:16 AM,2.7100,2.7080,9.225092,25.00,24.98,-0.0185,-0.07%
GRT,HYPER,11:56:23 AM,11:57:08 AM,0.0286,0.0286,875.043752,25.00,25.04,0.0438,0.18%
WLD,HYPER,11:56:38 AM,11:56:59 AM,0.3795,0.3798,65.876153,25.00,25.02,0.0198,0.08%
NEAR,HYPER,11:56:23 AM,11:56:38 AM,2.7040,2.7040,9.245562,25.00,25.00,0.0000,0.00%
WLD,HYPER,11:55:58 AM,11:56:32 AM,0.3788,0.3793,65.997888,25.00,25.05,0.0462,0.18%
POND,HYPER,11:56:10 AM,11:56:22 AM,0.0027,0.0026,9433.962264,25.00,24.91,-0.0943,-0.38%
INJ,HYPER,11:56:02 AM,11:56:19 AM,5.5310,5.5270,4.519978,25.00,24.98,-0.0181,-0.07%
GRT,HYPER,11:56:01 AM,11:56:08 AM,0.0286,0.0286,875.043752,25.00,25.03,0.0264,0.11%
IO,HYPER,11:55:52 AM,11:56:01 AM,0.1736,0.1735,144.009217,25.00,24.99,-0.0144,-0.06%
POND,HYPER,11:55:40 AM,11:55:59 AM,0.0026,0.0026,9469.696970,25.00,25.00,0.0000,0.00%
